name,continent,co2_emissions,climate,area,latitude,longitude,population
Somalia,Africa,0.882,27.1,637657,10 00 N,49 00 E,13017273
South Africa,Africa,470.358,18.42,1219090,29 00 S,24 00 E,60442647
South Sudan,Africa,1.778,28.08,644329,8 00 N,30 00 E,12703714
Spain,Europe,280.624,15.3,505370,40 00 N,4 00 W,47280433
Sri Lanka,Asia,23.939,27.24,65610,7 00 N,81 00 E,21982608
Sudan,Africa,17.319,27.57,1861484,15 00 N,30 00 E,50467278
Suriname,South America,2.372,26.53,163820,4 00 N,56 00 W,646758
Sweden,Europe,48.144,3.84,450295,62 00 N,15 00 E,10589835
Switzerland,Europe,38.739,8.08,41277,47 00 N,8 00 E,8860574
Syria,Asia,26.893,19.17,187437,35 00 N,38 00 E,23865423
Taiwan,Asia,279.206,20.79,35980,23 30 N,121 00 E,23595274
Tajikistan,Asia,7.643,5.09,144100,39 00 N,71 00 E,10394063
Tanzania,Africa,11.491,22.9,947300,6 00 S,35 00 E,67462121
Thailand,Asia,305.273,26.78,513120,15 00 N,100 00 E,69920998
Timor-Leste,Asia,0.538,24.3,14874,8 50 S,125 55 E,1506909
Togo,Africa,2.244,27.47,56785,8 00 N,1 10 E,8917994
Tonga,Oceania,0.171,25.1,747,20 00 S,175 00 W,104889
Trinidad and Tobago,North and Central America,39.652,26.46,5128,11 00 N,61 00 W,1408966
Tunisia,Africa,23.692,21.44,163610,34 00 N,9 00 E,12048847
Turkey,Asia,391.792,12.24,783562,39 00 N,35 00 E,84119531
Turkmenistan,Asia,109.037,17.66,488100,40 00 N,60 00 E,5744151
Tuvalu,Oceania,0.112,28.49,26,8 00 S,178 00 E,11733
Uganda,Africa,5.841,23.14,241038,1 00 N,32 00 E,49283041
Ukraine,Europe,185.686,10.04,603550,49 00 N,32 00 E,35661826
United Arab Emirates,Asia,276.236,28.93,83600,24 00 N,54 00 E,10032213
United Kingdom,Europe,398.084,10.11,243610,54 00 N,2 00 W,68459055
United States,North and Central America,5144.361,9.73,9833517,38 00 N,97 00 W,341963408
Uruguay,South America,6.45,17.73,176215,33 00 S,56 00 W,3425330
Uzbekistan,Asia,102.965,14.86,447400,41 00 N,64 00 E,36520593
Vanuatu,Oceania,0.225,24.76,12189,16 00 S,167 00 E,318007
Venezuela,South America,103.708,25.52,912050,8 00 N,66 00 W,31250306
Vietnam,Asia,249.929,24.73,331210,16 10 N,107 50 E,105758975
Yemen,Asia,10.158,25.51,527968,15 00 N,48 00 E,32140443
Zambia,Africa,6.798,21.92,752618,15 00 S,30 00 E,20799116
Zimbabwe,Africa,7.902,21.83,390757,20 00 S,30 00 E,17150352
